slug,name,category,btcpay_store_id,btcpay_url
"3-west-butchery","3 West Butchery","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"3-west-collection","3 West Collection","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"3-west-hotel","3 West Hotel","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"ac-gas-suppliers","AC Gas Suppliers","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"acgassuppliers","ACGassuppliers","Transport","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"abebo-vegez","Abebo Vegez","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"black-and-white-fries-corner","Black and White Fries Corner","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"brian-boda-boda","Brian (Boda-Boda Rider)","Transport","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"bridgeway-mini-shop","Bridgeway Mini Shop","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"bridgeway-shop","Bridgeway Shop","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"candys-collection-hub","Candy’s Collection Hub","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"caronaliak","Caronaliak","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"damaris-11","Damaris 11","Food & Dining","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"david-neighborhood-shop","David","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"detox-health-spa","Detox Health Spa","Personal Care","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"doctor-furniture","Doctor Furniture","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"dr-martin-kimemia","Dr. Martin Kimemia","Healthcare","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"erika-himalaya-h-1","Erika Himalaya H 1","Hospitality","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"fitro-kenya","Fitro Kenya","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"fred-collections","Fred Collections","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"fridah-fresh-produce","Fridah","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"galaxxy-toilet","Galaxxy Toilet","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"golden-heart-youth-group","Golden Heart Youth Group","Community Services","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"goreti-greens-shop","Goreti Greens Shop","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"grace-mama-mboga","Grace","Food Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"kings-shop","Kings Shop","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"krezzy-kicks","Krezzy Kicks","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"maji-safi","Maji safi","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"malegah-shop","Malegah Shop","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"mama-clear","Mama Clear","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"mama-clinton-groceries","Mama Clinton Groceries","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"mama-eddy-salon-1","Mama Eddy Salon","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"mama-eddy-salon","Mama Eddy Salon","Personal Care","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"mama-maureen","Mama Maureen","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"mama-nonny-shop","Mama Nonny Shop","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"mama-stacy","Mama Stacy","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"mercy-waste-services","Mercy","Environmental Services","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"nifah","Nifah","Hospitality","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"night-salon","Night Salon","Personal Care","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"night-salon-1","Night Salon","Personal Care","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"ruth-shop","Ruth Shop","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"shibe","Shibe","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"shine-magicians","Shine Magicians","Environmental Services","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"sokoni-mboga","Sokoni Mboga","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"soweto-car-wash","Soweto Car Wash","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"vela-transporters","Vela Transporters","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"venlavery-retail-shop","Venlavery Retail Shop","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"wilson-asweto","WILSON ASWETO","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"western-delicacy","Western Delicacy","Food & Dining","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
"yummy-tummy","Yummy Tummy","Retail","","https://btcpay.afribit.africa/apps/FILL_IN/pos"
